,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
258,66433,2016,8,16.510896799999998,99.8427746,Thailand,1,3,0,2,0,ground,,mobile_application,False
260,66431,2016,8,16.54307635,99.85538254,Thailand,1,3,0,1,1,ground,,mobile_application,False
261,66427,2016,8,16.74532152,99.93509384,Thailand,1,15,0,1,1,ground,,mobile_application,False
262,66425,2016,8,16.77006775,99.93461841,Thailand,1,3,0,1,2,ground,,mobile_application,False
263,66423,2016,8,16.79657258,99.95599394,Thailand,1,2,0,1,0,ground,,mobile_application,False
265,66421,2016,8,16.79687732,99.9493848,Thailand,1,3,0,1,2,ground,,mobile_application,False
268,66417,2016,8,16.86507072,99.94077852,Thailand,1,3,0,1,1,ground,,mobile_application,False
269,66415,2016,8,16.91335556,99.95489037,Thailand,1,3,0,1,1,ground,,mobile_application,False
272,66412,2016,8,16.96431505,99.97298953,Thailand,1,3,0,1,0,ground,,mobile_application,False
274,66410,2016,8,16.96466051,99.95919885,Thailand,1,3,0,1,2,ground,,mobile_application,False
276,66408,2016,8,16.99047929,99.95075396,Thailand,1,3,0,1,0,ground,,mobile_application,False
278,66406,2016,8,16.99479811,99.9393727,Thailand,1,3,0,1,2,ground,,mobile_application,False
280,66404,2016,8,17.01412452,99.91764917,Thailand,1,3,0,2,1,ground,,mobile_application,False
281,66402,2015,3,50.33372621,28.99060528,Ukraine,1,0,0,1,0,streetview,,,False
282,66401,2015,8,41.36672883,75.45960497,Kyrgyzstan,1,0,0,2,0,streetview,,,False
283,66392,2011,8,-20.09395357,-49.35473546,Brazil,1,0,0,1,0,streetview,,,False
284,66390,2011,8,-20.13370645,-49.33585397,Brazil,1,0,0,1,0,streetview,,,False
286,66388,2011,8,-20.14011252,-49.33267474,Brazil,1,0,0,1,0,streetview,,,False
288,66379,2011,7,-20.00299613,-49.13243825,Brazil,1,0,0,1,0,streetview,,,False
289,66370,2016,8,17.09944684,99.70363414,Thailand,1,3,0,2,0,ground,,mobile_application,False
290,66369,2016,8,17.25523156,99.71126325,Thailand,1,3,0,2,0,ground,,mobile_application,False
291,66367,2016,8,17.27997135,99.68489458,Thailand,1,3,0,2,2,ground,,mobile_application,False
292,66366,2016,8,17.28388376,99.68525342,Thailand,1,21,3,2,4,ground,,mobile_application,False
293,66365,2016,8,17.29490424,99.69204481,Thailand,1,15,0,2,1,ground,,mobile_application,False
294,66363,2016,8,17.33596179,99.48732864,Thailand,1,3,0,1,1,ground,,mobile_application,False
295,66361,2016,8,17.33165387,99.52348975,Thailand,1,3,0,2,0,ground,,mobile_application,False
297,66358,2016,8,17.32962461,99.44012628,Thailand,1,3,0,2,2,ground,,mobile_application,False
298,66357,2016,8,17.33416668,99.43805964,Thailand,1,3,0,2,2,ground,,mobile_application,False
300,66355,2016,8,17.33923031,99.44010902,Thailand,1,3,0,2,2,ground,,mobile_application,False
301,66353,2016,8,17.5473249,99.34094998,Thailand,1,3,0,2,1,ground,,mobile_application,False
302,66349,2016,8,18.21402253,99.39398765,Thailand,1,3,0,1,1,ground,,mobile_application,False
303,66348,2016,8,18.28562979,99.3802589,Thailand,1,3,0,1,1,ground,,mobile_application,False
304,66347,2016,8,18.32613787,99.40071532,Thailand,1,17,0,1,1,ground,,mobile_application,False
305,66346,2016,8,18.32445014,99.41609096,Thailand,1,3,0,1,1,ground,,mobile_application,False
306,66345,2016,8,18.32515733,99.42181108,Thailand,1,17,0,1,1,ground,,mobile_application,False
310,66341,2016,8,18.32578138,99.43037518,Thailand,1,3,0,2,0,ground,,mobile_application,False
314,66337,2016,8,18.32877582,99.48758886,Thailand,1,3,0,2,1,ground,,mobile_application,False
315,66335,2016,8,18.40563213,99.48724293,Thailand,1,17,0,1,1,ground,,mobile_application,False
316,66334,2016,8,18.40512993,99.49010068,Thailand,1,3,0,1,1,ground,,mobile_application,False
317,66333,2016,8,18.38457838,99.50072936,Thailand,1,22,0,1,1,ground,,mobile_application,False
319,66318,2016,8,18.08486491,100.10322788,Thailand,1,2,0,1,0,ground,,mobile_application,False
320,66317,2016,8,18.08345504,100.0973512,Thailand,1,3,0,1,1,ground,,mobile_application,False
322,66298,2016,8,17.44549575,100.09166286,Thailand,1,3,0,1,1,ground,,mobile_application,False
324,66296,2016,8,17.39587319,100.07568007,Thailand,1,15,0,1,1,ground,,mobile_application,False
326,66294,2016,8,17.33252304,100.05178791,Thailand,1,2,0,1,1,ground,,mobile_application,False
327,66293,2016,8,17.32511998,100.0469614,Thailand,1,3,0,2,1,ground,,mobile_application,False
329,66288,2016,8,17.22754068,100.04747156,Thailand,1,2,3,2,0,ground,,mobile_application,False
330,66287,2016,8,17.20307445,100.0531408,Thailand,1,3,0,2,1,ground,,mobile_application,False
332,66281,2016,8,17.12871348,100.08313303,Thailand,1,3,0,2,0,ground,,mobile_application,False
334,66279,2016,8,17.12092913,100.07744827,Thailand,1,3,0,2,1,ground,,mobile_application,False
336,66277,2016,8,17.13160376,100.09039483,Thailand,1,3,0,2,1,ground,,mobile_application,False
337,66275,2016,8,17.082484899999997,100.11690222,Thailand,1,3,0,2,1,ground,,mobile_application,False
339,66271,2016,8,17.06453392,100.16408418,Thailand,1,3,0,2,1,ground,,mobile_application,False
340,66270,2016,8,17.05308172,100.15231642,Thailand,1,3,0,2,1,ground,,mobile_application,False
