id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
66486,2016,8,14.56450822,100.07995917,Thailand,1,21,0,2,4,ground,,mobile_application,False
66485,2016,8,14.5995154,100.07394698,Thailand,1,3,0,2,1,ground,,mobile_application,False
66482,2016,8,14.67394156,100.1422865,Thailand,1,3,0,2,1,ground,,mobile_application,False
66480,2016,8,14.68159073,100.11233986,Thailand,1,3,0,2,1,ground,,mobile_application,False
66479,2016,8,14.75525526,100.1158956,Thailand,1,3,0,2,1,ground,,mobile_application,False
66475,2016,8,14.80182992,100.11439573,Thailand,1,3,0,2,1,ground,,mobile_application,False
66474,2016,8,14.8014841,100.11473106,Thailand,1,3,0,1,1,ground,,mobile_application,False
66473,2016,8,14.80548118,100.12006965,Thailand,1,3,0,1,1,ground,,mobile_application,False
66472,2016,8,14.87508717,100.09742863,Thailand,1,3,0,2,1,ground,,mobile_application,False
66471,2016,8,14.92994462,100.08562453,Thailand,1,3,0,1,1,ground,,mobile_application,False
66470,2016,8,15.02059706,100.14070027,Thailand,1,3,0,2,1,ground,,mobile_application,False
66469,2016,8,15.06675016,100.16734205,Thailand,1,3,0,2,1,ground,,mobile_application,False
66468,2016,8,15.08410045,100.18520213,Thailand,1,3,0,2,1,ground,,mobile_application,False
66467,2016,8,15.0853937,100.17883555,Thailand,1,3,0,2,1,ground,,mobile_application,False
66466,2016,8,15.07354994,100.17416684,Thailand,1,3,0,2,1,ground,,mobile_application,False
66463,2014,5,15.58466042,101.34642256,Thailand,1,2,0,1,0,streetview,,,False
66462,2015,4,38.11483342,-121.33151767,United States of America,1,21,0,1,0,streetview,,,False
66455,2016,8,15.57413107,100.1449912,Thailand,1,15,0,1,1,ground,,mobile_application,False
66453,2016,8,15.96593864,100.1285113,Thailand,1,15,0,1,1,ground,,mobile_application,False
66452,2016,8,15.96643419,100.12489429,Thailand,1,3,0,1,1,ground,,mobile_application,False
66451,2016,8,16.05526628,100.12293364,Thailand,1,3,0,1,1,ground,,mobile_application,False
66449,2016,8,16.13084765,100.07383577,Thailand,1,3,0,2,0,ground,,mobile_application,False
66447,2016,8,16.12543178,100.1001359,Thailand,1,3,0,1,1,ground,,mobile_application,False
66444,2016,8,16.25409548,100.12675866,Thailand,1,3,0,2,0,ground,,mobile_application,False
66443,2016,8,16.32656178,100.12981944,Thailand,1,3,0,1,1,ground,,mobile_application,False
66442,2016,8,16.32620825,100.12937059,Thailand,1,3,0,2,0,ground,,mobile_application,False
66440,2016,8,16.50947031,100.12564984,Thailand,1,3,0,2,0,ground,,mobile_application,False
66439,2016,8,16.50488465,100.085733,Thailand,1,3,0,2,0,ground,,mobile_application,False
66434,2016,8,16.49047434,99.87095124,Thailand,1,3,0,2,1,ground,,mobile_application,False
66433,2016,8,16.5108968,99.8427746,Thailand,1,3,0,2,0,ground,,mobile_application,False
66432,2016,8,16.51093401,99.84247175,Thailand,1,3,0,2,1,ground,,mobile_application,False
66431,2016,8,16.54307635,99.85538254,Thailand,1,3,0,1,1,ground,,mobile_application,False
66427,2016,8,16.74532152,99.93509384,Thailand,1,15,0,1,1,ground,,mobile_application,False
66425,2016,8,16.77006775,99.93461841,Thailand,1,3,0,1,2,ground,,mobile_application,False
66423,2016,8,16.79657258,99.95599394,Thailand,1,2,0,1,0,ground,,mobile_application,False
66422,2016,8,16.79644372,99.9557889,Thailand,1,2,0,1,1,ground,,mobile_application,False
66421,2016,8,16.79687732,99.9493848,Thailand,1,3,0,1,2,ground,,mobile_application,False
66420,2016,8,16.79652643,99.94965245,Thailand,1,3,0,1,2,ground,,mobile_application,False
66419,2016,8,16.79808881,99.94304102,Thailand,1,3,0,1,2,ground,,mobile_application,False
